edge_id,scope,quote,origin,locator,evidence_file,extraction_call,review_call,role_audit_call
6697107b1c631173aa3c40ba,method,public org.jivesoftware.smack.PacketCollector createCollector();,binary_declaration,tmp\authoritative_artifacts\smack\smack-all-3.2.1.jar,declarations/329738bbbac0759e0773.txt,,,
0cd669ce27e8ea17252d52ae,method,public org.jivesoftware.smack.PacketCollector createPacketCollector(org.jivesoftware.smack.filter.PacketFilter);,binary_declaration,tmp\authoritative_artifacts\smack\smack-all-3.2.1.jar,declarations/0927744c1caa74941008.txt,,,
86616286522e5571ef2b8b2a,method,"public void addPacketListener(org.jivesoftware.smack.PacketListener, org.jivesoftware.smack.filter.PacketFilter);",binary_declaration,tmp\authoritative_artifacts\smack\smack-all-3.2.1.jar,declarations/0927744c1caa74941008.txt,,,
86616286522e5571ef2b8b2a,method,"public void addPacketSendingListener(org.jivesoftware.smack.PacketListener, org.jivesoftware.smack.filter.PacketFilter);",binary_declaration,tmp\authoritative_artifacts\smack\smack-all-3.2.1.jar,declarations/0927744c1caa74941008.txt,,,
86616286522e5571ef2b8b2a,method,public void removePacketListener(org.jivesoftware.smack.PacketListener);,binary_declaration,tmp\authoritative_artifacts\smack\smack-all-3.2.1.jar,declarations/0927744c1caa74941008.txt,,,
86616286522e5571ef2b8b2a,method,public void removePacketSendingListener(org.jivesoftware.smack.PacketListener);,binary_declaration,tmp\authoritative_artifacts\smack\smack-all-3.2.1.jar,declarations/0927744c1caa74941008.txt,,,
846cfe30ebd7ed7e5143b4b5,method,public abstract org.jivesoftware.smack.Roster getRoster();,binary_declaration,tmp\authoritative_artifacts\smack\smack-all-3.2.1.jar,declarations/0927744c1caa74941008.txt,,,
3c31d2d76c41986a428ea32b,method,public org.jivesoftware.smack.PacketCollector createPacketCollector(org.jivesoftware.smack.filter.PacketFilter);,binary_declaration,tmp\authoritative_artifacts\smack\smack-all-3.2.1.jar,declarations/0927744c1caa74941008.txt,,,
3c31d2d76c41986a428ea32b,method,"public void addPacketInterceptor(org.jivesoftware.smack.PacketInterceptor, org.jivesoftware.smack.filter.PacketFilter);",binary_declaration,tmp\authoritative_artifacts\smack\smack-all-3.2.1.jar,declarations/0927744c1caa74941008.txt,,,
3c31d2d76c41986a428ea32b,method,"public void addPacketListener(org.jivesoftware.smack.PacketListener, org.jivesoftware.smack.filter.PacketFilter);",binary_declaration,tmp\authoritative_artifacts\smack\smack-all-3.2.1.jar,declarations/0927744c1caa74941008.txt,,,
3c31d2d76c41986a428ea32b,method,"public void addPacketSendingListener(org.jivesoftware.smack.PacketListener, org.jivesoftware.smack.filter.PacketFilter);",binary_declaration,tmp\authoritative_artifacts\smack\smack-all-3.2.1.jar,declarations/0927744c1caa74941008.txt,,,
93288531b74bea277de2500c,method,public org.jivesoftware.smack.filter.PacketFilter getPacketFilter();,binary_declaration,tmp\authoritative_artifacts\smack\smack-all-3.2.1.jar,declarations/dbdb4ae68e3f5c3769c6.txt,,,
89f0b8a9793e624221a9e1b0,method,"public void composingNotificationRequested(java.lang.String, java.lang.String, org.jivesoftware.smackx.MessageEventManager);",binary_declaration,tmp\authoritative_artifacts\smack\smack-all-3.2.1.jar,declarations/48c2ad755dd72d54b652.txt,,,
89f0b8a9793e624221a9e1b0,method,"public void deliveredNotificationRequested(java.lang.String, java.lang.String, org.jivesoftware.smackx.MessageEventManager);",binary_declaration,tmp\authoritative_artifacts\smack\smack-all-3.2.1.jar,declarations/48c2ad755dd72d54b652.txt,,,
